x,y,z,map
-3.0438173,5.8284073,5.139873,4.294668
-18.394186,-21.095652,11.671742,4.2293916
20.036154,-36.629482,21.601316,8.653415
-12.845181,-28.137863,17.017622,3.8700216
-1.7449694,-2.1551118,-16.372246,9.540286
-15.025386,-9.247501,10.52229,3.7944646
-15.093042,-10.017075,11.086072,3.6919606
-13.318462,-17.270947,-9.9673395,9.323309
3.376634,-17.264017,-10.105706,11.235064
-18.0283,-24.296112,11.655991,4.5891643
15.990658,-9.537455,-10.987653,11.730639
-19.838879,-28.513794,-9.292168,8.764886
-0.121055014,-36.543575,23.165588,5.209538
-13.037126,-13.760974,-13.125325,9.657276
-9.7368,-27.77564,-2.6224833,7.8925767
29.998646,15.687417,13.262782,7.518308
-15.018184,1.2447275,-16.868689,9.095522
24.50695,17.622477,16.743479,6.828335
-6.332121,-31.79459,8.721463,6.2394137
-0.502063,6.0365133,7.190761,3.8494885
25.161953,16.876505,15.397663,6.7973237
-5.393178,-31.317112,5.7040644,6.7913866
15.135303,-0.48774126,-12.4689665,10.17501
31.177162,-0.35771427,12.190859,8.719745
-21.156113,-8.932544,0.82619464,6.477965
-17.729586,-28.563736,1.3857635,6.4977264
33.084354,7.1386666,5.1320515,9.461913
-18.753122,-28.037426,1.331427,6.6097007
6.5425477,-1.0562519,17.616917,2.2957513
-1.0068477,-1.4144058,12.926465,2.1823094
23.161152,14.310076,12.805027,6.328053
-6.951644,-12.981129,-12.538446,11.028605
30.76783,-5.723804,6.605851,9.75628
-0.38015446,-29.79657,2.5072966,7.8214707
-1.4914643,-29.913649,2.282389,7.7360277
-21.886768,-28.080378,-6.469758,8.179881
-20.412733,-16.917553,8.046967,4.8865433
-20.167593,-17.847729,8.716731,4.761848
-6.661539,-7.2997246,14.118047,1.8284672
-20.63469,-17.694208,7.88758,4.9329767
-1.9839971,-20.90846,26.047115,2.6424727
-3.8248727,7.972078,-2.380491,5.733452
20.819275,-0.3501939,22.916786,4.714126
11.778177,-33.496037,12.863137,8.443351
-13.869548,-1.9031638,-17.280066,9.47495
24.253092,8.675405,25.036219,6.0648513
-12.529925,-14.359016,16.384447,2.3845146
29.578297,-18.96708,10.059125,10.257729
30.612356,-0.093845844,15.785375,7.86887
19.898083,13.288308,19.822388,5.797939
18.034515,8.049993,20.336666,4.8562126
31.014765,-17.23763,10.420571,10.024689
3.7503037,10.986454,-5.820832,6.690706
-1.8135628,-20.333672,-7.734272,10.02944
11.338616,-36.677864,17.27677,7.4959464
30.305147,4.983073,23.172043,6.768083
30.21248,6.054445,23.55574,6.8179865
-7.7419643,-9.68648,15.704259,1.5799316
-19.131336,-7.662612,-16.099573,10.020815
-19.302555,-8.328003,-15.193614,9.848243
4.0596914,11.109154,-4.3167276,6.420578
31.374405,2.1727202,9.859809,9.304803
24.229715,15.211405,26.91942,6.925084
25.224638,15.367259,27.366648,7.1076045
15.165895,-8.980048,-11.385326,11.592065
-10.02122,-26.897896,21.616524,3.320102
18.560476,8.922296,20.97009,5.057074
-1.7054534,4.8960657,7.375171,3.7630074
32.43084,-7.808951,9.55901,9.171582
22.06002,16.144053,24.953432,6.630778
1.043973,-21.203688,-7.3939056,10.187787
7.2794895,-37.51599,18.49741,6.7650123
8.081328,-37.203247,17.905931,6.934456
32.037037,17.013521,16.427153,8.049004
-21.996162,-16.742146,-3.0640385,7.215282
-3.3766296,-0.7904834,-16.470572,9.246732
-12.076081,-7.223993,10.947391,3.289454
35.560795,9.130689,18.695034,8.796754
18.497925,-36.85991,20.438335,8.445379
33.278824,20.57105,26.891506,8.787797
-6.4555902,-32.71545,19.533424,4.455898
22.201298,-4.3183637,-11.17929,11.274142
21.27075,-3.382831,-11.516821,11.047305
32.749554,7.989268,12.599425,8.941836
-2.9651222,0.1490986,-16.419462,9.115203
13.798322,-7.7931495,-12.0957365,11.318362
13.915112,-6.515488,-12.313503,11.113936
-16.601917,-13.705311,11.973847,3.7813416
-15.693103,-13.48369,12.8951235,3.4663384
25.750635,9.668696,25.609001,6.3997097
9.286076,-27.892616,2.703484,9.676814
9.500802,-28.370651,3.8193593,9.577178
6.4627323,-0.41160032,17.104733,2.3700829
-4.9282255,-20.459707,24.707308,2.1723142
28.566236,-21.909626,11.25108,10.634171
31.674784,9.493095,11.5529,8.455346
-4.813203,6.4860086,1.7083024,5.0509543
35.51987,7.156583,21.603878,8.066501
-23.148575,-20.256693,-4.010164,7.6038537
11.240122,11.939002,1.191655,6.100792
-7.334981,-23.413233,-6.2766504,8.998267
-23.360786,-21.031693,-6.0649424,7.9483094
11.5449915,-2.3469474,22.2941,3.0172079
-5.0281696,-21.159067,-7.1835494,9.571372
4.2280474,-12.702513,-12.650785,11.6112795
3.8727834,-13.587766,-12.203425,11.757575
4.889647,-13.564426,-12.114367,11.801982
0.17363429,7.4046965,-14.021098,8.032318
30.224077,-30.525578,24.09611,10.605587
29.376886,-31.265495,24.150541,10.417355
34.107418,18.926643,38.61992,10.016178
-4.29329,-32.11235,9.53691,6.3220005
-3.171837,-32.20017,9.555083,6.3934054
-4.9303613,-32.19521,10.160574,6.17942
-19.69338,-7.972421,3.8752136,5.825432
-21.32577,-25.798933,1.3081005,6.6020837
-18.41853,-9.029874,-14.835669,9.767312
-16.437958,-25.152853,14.016978,4.080132
28.028536,2.2271357,22.594788,6.2307
-18.335117,-13.655407,-8.645351,8.409876
7.707882,11.68167,-7.5088043,7.3535194
6.9829698,11.626527,-6.791619,7.169225
24.432413,-1.6096418,-12.247483,11.013667
-10.87102,-6.8416476,11.337368,3.037989
-14.7755995,-14.246778,14.297477,3.0879962
-4.0426044,-8.1396,16.4374,0.94004136
22.500534,11.798257,-9.471319,8.745386
-19.384352,-0.55372447,-6.5030546,7.6482234
-6.4558506,-3.9462602,-16.408327,9.623938
1.1612827,-28.34669,0.102768876,8.47636
16.119356,2.3050523,21.253145,3.9594693
8.821801,-11.910655,-12.22583,11.7158575
8.86276,-11.122104,-12.595853,11.576774
1.3702482,-29.329536,2.2206757,8.1355
-4.5272346,4.0686746,5.972162,4.124852
-8.712133,-15.353056,19.847368,1.4591051
-5.846196,7.4189825,-8.504332,6.8877206
24.501003,10.2993,25.854223,6.316098
-11.094757,-12.294339,-13.947225,10.117411
14.650983,7.759321,-11.451091,8.794769
31.386974,-4.0821896,13.945167,8.138242
7.395666,-8.190329,-14.106664,10.983745
-16.527555,-26.976984,12.41758,4.484487
32.863804,-7.97558,10.833577,8.944971
26.073683,10.924703,6.214357,7.0984
25.215147,11.898095,7.801846,6.837626
-20.562952,-24.15961,6.3246155,5.5401664
19.388807,4.1548333,22.818068,4.7583003
32.0454,-3.8647327,11.270679,8.738512
32.375427,-4.978069,11.476447,8.729316
10.4191675,-28.140938,3.7903028,9.79696
17.790716,11.83998,1.1006349,6.7298965
-16.417574,-10.4802885,-14.011094,9.571412
36.279396,11.17628,22.141829,8.683983
11.177796,-26.143011,0.25824776,10.463553
34.066227,6.4324923,16.9049,8.57628
-2.291372,4.680444,-15.450678,8.397292
11.289865,12.225169,-2.5588427,6.747529
34.307716,5.7731175,18.595316,8.29105
1.8661963,-23.765114,-5.337578,9.742438
34.10337,10.780431,-9.181887,10.636664
-6.2945366,-13.654648,-12.013469,10.992715
16.471106,-12.211839,-9.957846,12.218424
26.422958,-0.37828213,21.968283,5.8693914
33.06333,-13.919463,13.257436,8.964333
33.228455,-13.356862,13.808927,8.822276
34.793144,11.97587,16.788317,9.2124
30.932302,-7.7602277,19.104961,7.2238946
-2.2680407,-14.2111845,-11.698808,11.179399
